l_english:

 revolution.30.name:0 "The Ideas of [Root.philosopher_dude.GetName]"
 french_revolution.301.B:0 "Ми пощадимо [Root.GetEventAdvisorHerHim]."

 french_revolution.303.name:0 "Терор править бал"
 french_revolution.303.desc:0 "The frequent purges have left enemies of the Revolution cowering in terror. None dare raise their voice in opposition to the course set by the government, leaving the country as united as never before. All praise to [Root.Monarch.GetTitle] [Root.Monarch.GetName]!"
 french_revolution.303.A:0 "Якщо вони не можуть нас любити, нехай вони нас бояться."

 french_revolution.5.female:0 "Since the Revolution, the Queen and the rest of the royal family have been kept under house arrest in the Tuileries Palace, where she has been turned into a reluctant puppet of the new regime. Although she had promised to guarantee the social advancements of the Revolution, she did not hide her contempt towards this filthy constitutional monarchy that had been imposed on her, and instead plotted to escape and seek refuge with our enemies in [flee_to_country.GetUsableName], from where she hoped she might be restored to the throne. However, revolutionary forces intercepted her before she could cross the border.\n\nThis has emboldened all those who despise the monarchy and wish to permanently rid us of their scourge. They have hauled her before the National Assembly to face trial over charges of having conspired with foreign powers and thus being a traitor. If found guilty, she will be forced to abdicate, be stripped of all titles and face execution by guillotine. However, tensions are running high and the vote is likely be a close one."
 french_revolution.5.male:0 "Since the Revolution, the King and the rest of the royal family have been kept under house arrest in the Tuileries Palace, where he has been turned into a reluctant puppet of the new regime. Although he had promised to guarantee the social advancements of the Revolution, he did not hide his contempt towards this filthy constitutional monarchy that had been imposed on him, and instead plotted to escape and seek refuge with our enemies in [flee_to_country.GetUsableName], from where he hoped he might be restored to the throne. However, revolutionary forces intercepted him before he could cross the border.\n\nThis has emboldened all those who despise the monarchy and wish to permanently rid us of their scourge. They have hauled him before the National Assembly to face trial over charges of having conspired with foreign powers and thus being a traitor. If found guilty, he will be forced to abdicate, be stripped of all titles and face execution by guillotine. However, tensions are running high and the vote is likely be a close one."
 
 french_revolution.8.desc:0 "Our beloved [Root.Monarch.GetTitle] has been assassinated! The royalist conspirators concealed their bomb in a barrel on a cart parked on the Rue Saint-Nicaise, where Napoléon had to pass on the way to the Opéra to see the opening of Joseph Haydn's oratorio 'Die Schöpfung.' Nicknamed the 'Infernal Machine', the bomb was filled with gunpowder, flammable materials and bullets, and set off by using a long fuse. The explosion went off just as Napoléon neared, killing him instantly."
 french_revolution.8.B:0 "Quelle tragédie! - Яка трагедія!"

 rus_revolutionary_zeal:0 "Російська революція"
 desc_rus_revolutionary_zeal:0 "Народ Росії прийняв Революцію! Тепер ми повинні поширити її по всіх куточках землі!"

 REVOLUTIONARY_SPANISH_REPUBLIC:0 "Верховна Хунта"
 FIRST_OFFICER:0 "Перший офіцер"
 REVOLUTIONARY_SWEDISH_REPUBLIC:0 "Säkerhetstinget"
 REVOLUTIONARY_DANISH_REPUBLIC:0 "Sikkerhedtinget"
 FIRST_LAWSPEAKER:0 "Перший оратор"
 FIRST_LAWSPEAKER_fem:0 "Перша ораторка"
 SUPREME_VIZIER:0 "Верховний візир"
 SUPREME_VIZIER_fem:0 "Верховна візирка"
 CHAIRMAN:0 "Голова"
 CHAIRMAN_fem:0 "Голова"

 revolution.31.name:0 "Еспанська революція"
 revolution.31.desc:0 "The Revolution has arrived! The mob has stormed the Palacio Real in [Root.Capital.GetCapitalName], capturing [Root.Monarch.GetTitle] [Root.Monarch.GetName], who was promptly executed, along with other members of the royal family who were unable to escape.\n\nA Republic has been declared under by the new Supreme Central and Governing Junta, which is composed of two representatives from each of the divisions of the Spanish state and headed by renowned philosopher and lawyer Gaspar Melchor de Jovellanos. It promises to abolish serfdom, establish equality under the law and redistribute the nobility's land between the state and the peasantry, leading Spain and the rest of Europe to a brighter future free from oppression."
 revolution.31.A:0 "Viva la revolución!"

 revolution.32.name:0 "[Root.GetAdjective]а революція"
 revolution.32.desc.swedish:0 "The Revolution has arrived! It began with a coup staged by a group of noblemen - quickly gaining notoriety as the '[GetYear] års män', the 'Men of [GetYear]' - that forced [Root.Monarch.GetTitle] [Root.Monarch.GetName] to abdicate and go into exile. Although the conspirators had aimed to establish a constitutional monarchy, matters quickly escalated as a radical clique of lawyers, businessmen and liberals roused the mob through incendiary speeches inciting popular outrage against the monarch. The Royal Palace in [Root.Capital.GetCapitalName] was stormed, officials only able to look on in terror as one symbol of the old regime after the next was torn apart and a Republic was proclaimed.\n\nA 'Säkerhetstinget' or 'Thing of Public Safety' dominated by the radicals has taken over temporary control of the state. They promise to establish equality under the law and redistribute the nobility's land between the state and the peasantry, leading [Root.GetName] and the rest of Europe to a brighter future free from oppression."
 revolution.32.desc.norwegian:0 "The Revolution has arrived! It began with a coup staged by a group of noblemen - quickly gaining notoriety as the 'Menn fra [GetYear]', the 'Men of [GetYear]' - that forced [Root.Monarch.GetTitle] [Root.Monarch.GetName] to abdicate and go into exile. Although the conspirators had aimed to establish a constitutional monarchy, matters quickly escalated as a radical clique of lawyers, businessmen and liberals roused the mob through incendiary speeches inciting popular outrage against the monarch. The Royal Palace in [Root.Capital.GetCapitalName] was stormed, officials only able to look on in terror as one symbol of the old regime after the next was torn apart and a Republic was proclaimed.\n\nA 'Sikkerhedtinget' or 'Thing of Public Safety' dominated by the radicals has taken over temporary control of the state. They promise to establish equality under the law and redistribute the nobility's land between the state and the peasantry, leading [Root.GetName] and the rest of Europe to a brighter future free from oppression."
 revolution.32.desc.danish:0 "The Revolution has arrived! It began with a coup staged by a group of noblemen - quickly gaining notoriety as the '[GetYear] års mænd', the 'Men of [GetYear]' - that forced [Root.Monarch.GetTitle] [Root.Monarch.GetName] to abdicate and go into exile. Although the conspirators had aimed to establish a constitutional monarchy, matters quickly escalated as a radical clique of lawyers, businessmen and liberals roused the mob through incendiary speeches inciting popular outrage against the monarch. The Royal Palace in [Root.Capital.GetCapitalName] was stormed, officials only able to look on in terror as one symbol of the old regime after the next was torn apart and a Republic was proclaimed.\n\nA 'Sikkerhedtinget' or 'Thing of Public Safety' dominated by the radicals has taken over temporary control of the state. They promise to establish equality under the law and redistribute the nobility's land between the state and the peasantry, leading [Root.GetName] and the rest of Europe to a brighter future free from oppression."
 revolution.32.A.swedish:0 "За вільну Північну Європу!"
 revolution.32.A.norwegian:0 "За вільний Північ!"
 revolution.32.A.danish:0 "За вільний Північ!"

 revolution.33.name:0 "Штурм Лондонського Тауера"
 revolution.33.desc:0 ""I lament to see the honor of the [Root.GetStateForm] sunk even to prostitution." For these impertinent words, [Root.Monarch.GetTitle] [Root.Monarch.GetName] had popular politician John Wilkes arrested and imprisoned. However, this sparked large protests in London, where crowds gathered behind the rallying cry of "For Wilkes and Liberty!" Officials read the Riot Act, instructing troops to fire on the protestors, but this served only to further enflame tensions as the crowd continued to swell. Protests soon rose up across the city and a large mob stormed the Tower of London, freeing all political prisoners. Led by Wilkes himself, the crowd then turned towards Buckingham Palace. The [Root.Monarch.GetTitle] was captured as [Root.Monarch.GetSheHe] attempted to flee the city and now faces trial for conspiracy against the [Root.GetAdjective] people, the verdict a foregone conclusion.\n\nA Revolutionary Committee led by Wilkes has taken over control of the new republic, promising to abolish serfdom, establish equality under the law and redistribute the nobility's land between the state and the peasantry, leading [Root.GetName] to a future guided by the ideals of liberty and the brotherhood of man."
 revolution.33.A:0 "Хай живе Республіка!"

 revolution.34.name:0 "The Fall of the [Root.GovernmentName]"
 revolution.34.desc:0 "The Revolution has arrived! Longstanding dissatisfaction at the lack of meaningful reforms by the government of the [Root.GovernmentName] boiled over as revolutionaries stormed the Topkapi Palace in [Root.Capital.GetCapitalName], capturing [Root.Monarch.GetTitle] [Root.Monarch.GetName]'s harem and the Royal Treasury. The [Root.Monarch.GetTitle] [Root.Monarch.GetHerselfHimself] attempted to flee but was unable to evade capture for long. [Root.Monarch.GetSheHeCap] was swiftly put to death for crimes against the people and the faith.\n\nThe Imperial Divan has been purged of all reactionaries and reorganized into the ruling council of the new Republic, which is now headed by self-styled Supreme Vizier [Root.new_supreme_vizier.GetName]. The new regime promises to abolish serfdom, establish equality under the law and redistribute the nobility's land between the state and the peasantry, so that all [Root.Religion.GetGroupName]s may be as brothers, free from oppression."
 revolution.34.desc.heir:0 "The Revolution has arrived! Longstanding dissatisfaction at the lack of meaningful reforms by the government of the [Root.GovernmentName] boiled over as revolutionaries stormed the Topkapi Palace in [Root.Capital.GetCapitalName], capturing [Root.Monarch.GetTitle] [Root.Monarch.GetName]'s harem and the Royal Treasury. The [Root.Monarch.GetTitle] [Root.Monarch.GetHerselfHimself] attempted to flee but was unable to evade capture for long. [Root.Monarch.GetSheHeCap] was swiftly put to death for crimes against the people and the faith.\n\nThe Imperial Divan has been purged of all reactionaries and reorganized into the ruling council of the new Republic, which is now headed by self-styled Supreme Vizier [Root.new_supreme_vizier.GetName]. The new regime promises to abolish serfdom, establish equality under the law and redistribute the nobility's land between the state and the peasantry, so that all [Root.Religion.GetGroupName]s may be as brothers, free from oppression.\n\nHowever, [Root.Heir.GetTitle] [Root.Heir.GetName] remains at large in the provinces and has gathered an army of Ottoman loyalists who vow to bring back the [Root.GovernmentName]..."
 revolution.34.A:0 "Свобода є абсолютним правом народу!"

 revolution.35.name:0 "Наполеоне Буонапарте"
 revolution.35.desc:0 "The chaos of the Revolution and threats of foreign intervention have given ambitious young officers a chance to shine - a chance that has been seized in both hands by one Napoleone di Buonaparte, a Corsican artillery lieutenant. His success in several engagements have brought him to prominence. Most recently, he single-handedly quashed a monarchist uprising in [Root.Capital.GetCapitalName] by deploying the heavy cannons on the city streets, the success of this decisive action earning him the adoration of the people. Already many leaders of the Revolution look favorably upon him and are pushing for him to be elevated to high office. However, he is a man of much ambition, one who may not be content to rule as a mere [Root.Monarch.GetTitle]."

 revolution.36.desc:0 "Not satisfied with being merely First Consul, Napoleone di Buonaparte is proposing that he be crowned Emperor of Italy. He justifies this by claiming that restoring the hereditary succession would make it harder to restore the antico regime of Italy to power - after all, there have been several royalist plots on his life - but there is little doubt that his prime motivation is to further his own ambitions for supreme power. The proposal has met with widespread support among the populace, who yearn for the relative stability of the pre-revolutionary years; however, diehard supporters of the Revolution express worry at this attempt to concentrate even more power in Napoleone's hands."
 revolution.36.A:0 "Італія стане Імперією!"

 revolution.37.name:0 "Революція в місті [Root.Capital.GetCapitalName]"
 revolution.37.desc:0 "The Revolution has arrived! Large crowds gathered in [Root.Capital.GetCapitalName] to demand a wide range of concessions, chief among them a more democratic constitution. Taken aback by the scale of the protests, [Root.Monarch.GetTitle] [Root.Monarch.GetName] tried to defuse the situation by offering significant concessions. However, the leader of the revolutionaries [Root.new_ruler.GetName] ensured that they would not back down easily. "What proof have we," he asked, "that the despot will keep [Root.Monarch.GetHerHis] word?" At this, [Root.Monarch.GetTitle] [Root.Monarch.GetName] ordered the troops to disperse the crowds; however, the troops refused to fire on the protestors, and instead it was [Root.Monarch.GetSheHe] who was driven out.\n\nA Revolutionary Republic has been declared under the watchful stewardship of [Root.new_ruler.GetName], who promises to abolish serfdom, establish equality under the law and redistribute the nobility's land between the state and the peasantry, leading the people of [Root.GetName] to a future guided by the ideals of liberty and the brotherhood of man."
 revolution.37.A:0 "Es lebe die Revolution! - Хай живе революція!"

 revolution.38.name:0 "Революція в місті [Root.Capital.GetCapitalName]"
 revolution.38.desc:0 "The Revolution has arrived! Protests across the [Root.GovernmentName] pushing for land redistributions, a more democratic constitution and greater autonomy for non-German regions have coalesced into a massive demonstration in [Root.Capital.GetCapitalName]. [Root.Monarch.GetTitle] [Root.Monarch.GetName] tried to defuse the situation by offering token concessions, but this could not appease the crowd. Violence by the armed forces then enflamed the anger of the people, and a mob stormed the Hofburg Palace, capturing the [Root.Monarch.GetTitle], who was promptly put to death.\n\n[Root.GetUsableName] has been declared a Republic by the new Revolutionary Committee, who promise to abolish serfdom, establish equality under the law, ensure greater rights for minority groups and redistribute the nobility’s land between the state and the peasantry, leading [Root.GetUsableName] and the rest of Europe to a brighter future free from oppression."
 revolution.38.A:0 "Вперед, до свободи!"

 center_of_revolution.2.name:0 "Зла людина з провінції [william_jones_province.GetName]"
 center_of_revolution.2.desc:0 "[Root.william_jones.GetName], a poet and scholar from [william_jones_province.GetName] has made a name for himself among his [william_jones_province.Culture.GetName] brethren by distributing a large number of nationalist pamphlets and even composing a [william_jones_province.Culture.GetName] national anthem. Denouncing what he describes as [Root.GetAdjective] oppression and drawing on the ideals of the [revolution_target.GetAdjective] Revolution, he calls on his countrymen to pack their bags, quit their homeland and seek freedom in the 'Promised Land' of the New World.\n\nIt seems that his words have struck a chord among the [william_jones_province.Culture.GetName] people, with one influential nobleman praising him as "the hottest arsed [william_jones_province.Culture.GetName] person I have ever met". Already, many of his countrymen, radicalized by his ideas, are departing for [destination_country.GetName]."
 center_of_revolution.2.A:0 "Хай йдуть, нам буде краще без них."
 center_of_revolution.2.B:0 "Ми не можемо допустити цю міграцію до колоній."
 opinion_hostile_expats:0 "Ворожі експати"
 center_of_revolution.3.name:0 "Переворот в колоніях"
 center_of_revolution.3.desc:0 "The revolutionary ideas that are spreading like wildfire across the country are beginning to percolate to our colonies. Inspired by the success of the [revolution_target.GetAdjective] Revolution and bemoaning the lack of liberty in their own country, large numbers of disaffected intellectuals and ambitious entrepreneurs are flocking to [colonial_country.GetName], where they hope to push for the establishment of an independent republic free from [Root.GetAdjective] dominance."
 center_of_revolution.3.A:0 "Це може стати проблемою."
 center_of_revolution.4.name:0 "Свобода в колоніях"
 center_of_revolution.4.desc:0 "Ambassadors from [colonial_country.GetName] have arrived in [Root.Capital.GetCapitalName] on a clandestine mission: Chafing under the injustices of [rival_country.GetAdjective] rule, they seek support for their independence. If we can offer them material support, they may be able to break free, thereby spreading liberty to the New World and weakening those who would resist the advance of the Revolution in [Root.Capital.GetContinentName]."
 center_of_revolution.4.desc.already_supporting:0 "Ambassadors from [colonial_country.GetName] have arrived in [Root.Capital.GetCapitalName] on a clandestine mission: Chafing under the injustices of [rival_country.GetAdjective] rule, they seek further support from us for their independence. If we can offer them more material support, they may be able to break free, thereby spreading liberty to the New World and weakening those who would resist the advance of the Revolution in [Root.Capital.GetContinentName]."
 center_of_revolution.4.A:0 "Надішліть їм фінансову допомогу."
 center_of_revolution.4.B:0 "Допоможіть їм чимось."
 center_of_revolution.4.C:0 "Нам краще зосередитися на чомусь іншому."
 center_of_revolution.5.name:0 "[From.GetName] підтримує нашу незалежність"
 center_of_revolution.5.desc:0 "Keen to spread the ideals of their Revolution and weaken their rivals in [rival_country.GetUsableName] any way they can, [From.GetName] has agreed to provide us with material aid in our quest to secure independence from the [rival_country.GetAdjective] [rival_country.GovernmentName]."
 center_of_revolution.5.A:0 "Дуже добре."
 center_of_revolution.6.name:0 "[From.GetName] каламутить воду в наших колоніях"
 center_of_revolution.6.desc:0 "Although they deny all accusations, we have discovered that [From.GetName], not content with merely overturning all that is right and good in [Root.Capital.GetContinentName], is providing clandestine support to troublemakers in [colonial_country.GetName]. We will have to take swift action against both nations to prevent the loss of our colonies!"
 center_of_revolution.6.A:0 "Та як вони посміли?!"
 opinion_funded_independence_war:0 "Фінансування війни за незалежність"
 opinion_funding_our_colonies_for_independence:0 "Фінансуємо незалежность колоній"
 opinion_refused_to_fund_independence_war:0 "Відмовилися фінансувати війну за незалежність"
 revolutionary_sentiment:0 "Революційні настрої"
 center_of_revolution.7.name:0 "Former Revolutionaries Return to the Fold"
 center_of_revolution.7.desc.is_former_target:0 "Після краху Революції ті, хто ніколи по-справжньому не ототожнював себе з її цілями, були знов почуті. Хоча ідеологічні суперечки напевно будуть терзати нашу країну ще довгі роки, революційний запал у провінціях поступово згасає."
 center_of_revolution.7.desc.former_target_exists:0 "Після краху [former_revolutionary_country.GetAdjective]ої революції, революційний запал населення в провінції [revolutionary_province.GetAreaName] трохи згас. Those who sought to change the system have reluctantly resigned themselves to the continuation of life under the [Root.GovernmentName]."
 center_of_revolution.7.desc.no_former_target:0 "Після повної поразки тих, хто прагнув до революції, революційний запал населення в провінції [revolutionary_province.GetAreaName] трохи згас. They have reluctantly resigned themselves to the continuation of life under the [Root.GovernmentName]."
 center_of_revolution.7.A:0 "Природний порядок речей відновлено."
 center_of_revolution.8.name:0 "Контрреволюціонери в провінції [revolutionary_province.GetName]"
 center_of_revolution.8.desc:0 "The subversive ideals of the [revolution_target.GetAdjective] Revolution have taken hold in [revolutionary_province.GetName], perverting the natural order of things. However, right-thinking members of the nobility will not accept this state of affairs without a fight. They have rallied their forces and promise to drive the revolutionaries out of [revolutionary_province.GetName] if we give them our support."
 center_of_revolution.8.A:0 "They shall have our support."
 center_of_revolution.8.B:0 "We will not disrupt the local administration."
 center_of_revolution.9.name:0 "Reactionaries in [reactionary_province.GetName]!"
 center_of_revolution.9.desc:0 "Adherents of the old regime in [reactionary_province.GetName] have revealed themselves as the enemies of the people that they are. In a meticulously planned conspiracy, they have subverted members of the local militia and managed to secure the arrest of our administrators on spurious charges. They now claim it to be their duty to guide the people of [reactionary_province.GetName] through these troubled times, protecting them from the worst excesses of the revolutionary government. How should we deal with them?"
 center_of_revolution.9.A:0 "We shall crush these enemies of the people!"
 center_of_revolution.9.B:0 "They are not worthy of our attention."
 center_of_revolution.10.name:0 "Republican Scheming in [province_to_revolution.GetName]"
 center_of_revolution.10.desc:0 "Patriots in [own_revolutionary_province.GetName] have alerted us to an opportunity to spread the ideals of the Revolution. Republicans from [province_to_revolution.GetName] have approached them asking for [Root.GetAdjective] assistance in a coup against the reactionaries in charge of their province. However, the reactionaries are entrenched in [own_revolutionary_province.GetCapitalName], and they are unlikely to make headway without material support from us - something their [neighbour_country.GetAdjective] masters would surely not take kindly to."
 center_of_revolution.10.A:0 "They shall have our support."
 center_of_revolution.10.B:0 "We should not intervene in [neighbour_country.GetAdjective] affairs."
 center_of_revolution.11.name:0 "Coup in [province_to_revolution.GetName]"
 center_of_revolution.11.desc:0 "Dangerous idealists espousing revolutionary thoughts have taken control of [province_to_revolution.GetName], driving out or executing those of our administrators who would not swear loyalty to their cause. Witnesses say well-known [From.GetAdjective] revolutionaries were among their number, although the [From.GetAdjective] delegate in [Root.Capital.GetCapitalName] denies any knowledge of the coup."
 center_of_revolution.11.A:0 "Ми не витримаємо цього."
 opinion_revolutionary_coup_in_our_province:0 "Підтримка революціонерів в нашій державі"
 opinion_non_intervention:0 "Неінтервенціонізм"
 center_of_revolution.12.name:0 "[revolution_target.GetAdjective]і вигнанці прибувають до міста [Root.Capital.GetCapitalName]"
 center_of_revolution.12.desc:0 "Many members of the [revolution_target.GetAdjective] nobility have fled to [Root.Capital.GetCapitalName] in order to escape the Revolution that has engulfed their country. They now offer to help [Root.Monarch.GetTitle] [Root.Monarch.GetName] end the revolutionary threat by restoring the rightful rulers of [revolution_target.GetName], a course of action which would conveniently restore them their former positions. Already, their arrival has bolstered anti-revolutionary feeling in our nation and even swayed some of those who had formerly toyed with dangerously progressive ideas."
 center_of_revolution.12.A:0 "They are most welcome here."

 revolution.10.desc.nahuatl:0 "The Revolution has arrived! The [Root.GovernmentName] has collapsed under its own weight as the revolutionary masses stormed key government buildings. [Root.Monarch.GetTitle] [Root.Monarch.GetName] and his supporters among the [Root.GetNobilityOrFallbackName] have been rounded up and sacrificed to the Gods by the revolutionaries in the hope that their divine wrath may be abated by such eminent offerings.\n\nA purely temporary Committee of Public Safety has now been appointed to guide the new Republic through this revolutionary period. Threats abound, however, for monarchs and despots across the world fear they may suffer the same fate as the [Root.Monarch.GetTitle] and are already preparing for war against us. On the bright side, liberal forces are looking to us for assistance in their own struggles, so we will be able to gain support in such a manner."
 revolution.10.opt.nahuatl:0 "Вівтарі забарвляться кров'ю ворогів республіки!"

 revolution.39.name:0 "Батавійська республіка"
 revolution.39.desc:0 "The Revolution has arrived! Large crowds gathered in [Root.Capital.GetCapitalName] to demand a wide range of concessions, chief among them a more democratic constitution, as General Herman Willem Daendels returned from exile to support their cause. Seeing the writing on the wall, [Root.Monarch.GetTitle] [Root.Monarch.GetName] fled the country by fishing boat before [Root.Monarch.GetSheHe] could be caught.\n\nA Revolutionary "Batavian" Republic, named after the old rebels against the Roman Empire, has been declared. Its leaders, who enjoy the full backing of General Daendels, promise to abolish serfdom, establish equality under the law and redistribute the nobility's land between the state and the peasantry, leading the people of [Root.GetName] to a future guided by the ideals of liberty and the brotherhood of man."
 revolution.39.A:0 "Хай живе революція!"

 junior_revolutionary_republic_reform:0 "Revolutionary State"
 junior_revolutionary_republic_reform_desc:0 "The revolutionary republic represents the government of the nation by a small executive with the support of an elective chamber of deputies. This state will do its utmost to support the cause of the Revolution and spread the ideals of liberty and equality."

 republics.102.t:0 "The Stability of the [Root.GovernmentName]"
 republics.102.d.pirate:0 "Disputes between the pirate captains and [Root.Monarch.GetTitle] [Root.Monarch.GetName] have spiralled out of control. Not trusting [Root.Monarch.GetName] to give up power of [Root.Monarch.GetHerHis] own accord, the captains have joined forces to depose [Root.Monarch.GetHerHim]. With [Root.Monarch.GetHerHis] body safely swinging from the gallows, they have come together to form a "Mutineer Council" that will guide the [Root.GovernmentName] through this troubled time."
 republics.102.d.revolution:0 "Confidence in the Republic's institutions have deteriorated to the point that there has been widespread talk of a counter-revolutionary coup. With suspicions running high, [Root.Monarch.GetTitle] [Root.Monarch.GetName]'s position has become untenable. In this time of troubles, [Root.GetName]'s leading men in the Committee of Public Safety have taken control of the Republic until stability is restored."
 republics.102.A.pirate:0 "Хай живуть заколотники!"
 republics.102.A.pirate.tooltip:0 "§YThe Mutineer Council (2/2/2) takes power. It will suspend elections so long as Republican Tradition remains below 50.§!"
 republics.102.A.revolution:0 "May their rule be short and successful!"
 republics.102.A.revolution.tooltip:0 "§YThe Committee of Public Safety (2/2/2) takes power. It will suspend elections so long as Republican Tradition remains below 50.§!"
 elections.700.caretaker:0 "With the return of some degree of normalcy to the Republic, the Committee of Public Safety has agreed to stand down and allow elections to take place. Three primary candidates have been nominated to take over as [Root.Monarch.GetTitle]."
 pirates.1.desc3:0 "The safety of the [Root.GovernmentName] secured, the Mutineer Council has broken down into bickering and infighting, and finally dissolved itself. The crews have been called to assembly to elect a new [Root.Monarch.GetTitle].\n\nA [Root.Monarch.GetTitle] rules over a nation of thieves and murderers whose sole political desire is to not be ruled at all. It is a task comparable to herding sharks, yet some brave or foolhardy soul must fill the role."
 
 center_of_revolution.1000.name:0 "Місце народження революції"
 center_of_revolution.1000.desc:0 "A philosopher from [Root.GetCapitalName], [Root.first_center_revolutionary_philosopher.GetName], has published several treatises criticising the inequalities in [Root.Owner.GetUsableName] and calling for a new "social contract". Disputing the divine right of monarchs to rule as they see fit, he proclaims that sovereignty lies with the people and that ultimate power over the laws and policies of the land must lie with them.\n\nHis thesis is highly popular among the middle class entrepreneurs and literati, who have taken to spreading his ideas via pamphlets that call for popular mobilization against absolute power. Already, they are winning supporters across [Root.GetContinentName] as the first sparks of Revolution are born."
 center_of_revolution.1000.A:0 "Це струсоне всіх..."
 center_of_revolution.1001.name:0 "Революційний факел знову запалено"
 center_of_revolution.1001.desc:1 "Following the failure of revolutionary efforts in [first_revolution_center.GetCapitalName], the established order across [Root.GetContinentName] breathed a sigh of relief, thinking the challenge to their status had been overcome and things could return to normal. However, it now seems they were premature: the middle classes of [Root.GetCapitalName] have taken up the revolutionary ideals of [first_revolution_center.first_center_revolutionary_philosopher.GetName] and seek to succeed where their forerunners failed, liberating the third estate from the excesses of absolute power."
 center_of_revolution.1001.A:1 "Їх чекає та ж доля, що й місто [first_revolution_center.GetCapitalName]!"
 center_of_revolution.1001.B:0 "Хай живе революція!"
 center_of_revolution.1500.name:0 "Кінець революції"
 center_of_revolution.1500.desc:0 "Війська держави [From.GetUsableName] повністю розтрощили революційну [Root.GetAdjective]у революційну армію! Оскільки ідеалістів нещадно винищують, мовчазна більшість почала витирати пил зі своїх старих монархічних символів."
 center_of_revolution.1500.A:0 "Хай живе король!"

 center_of_revolution.2000.name:0 "Обмежити торгівлю зерном?"
 center_of_revolution.2000.desc:0 "Grain merchants have long suffered under the harsh restrictions placed on their trade, among them price controls and checks on the purity of their wares. They have come forwards with a proposal to greatly increase their profits - and in turn our tax revenues - from the grain trade by implementing a laissez-faire policy, in essence lifting most restrictions imposed on them.\n\nHowever, others point out that these restrictions are intended to guarantee the people edible food at affordable prices, and that many see the grain merchants as "the cruellest enemies of the people", thought to mix their flour with chalk or ground up bones, and actively inflate prices to make money off the suffering of the people. This being the case, it may be risky to be seen to give the grain merchants free rein..."
 center_of_revolution.2000.A:0 "Хай вони роблять, як їм заманеться."
 center_of_revolution.2000.B:0 "Немає необхідності змінювати діючі домовленості."
 center_of_revolution.2001.name:0 "Борошняні війни"
 center_of_revolution.2001.desc:0 "The last winter was particularly harsh, and the spring harvest has been poor so far. [Root.GetUsableName]’s cereal reserves are exhausted; the people face starvation. Grain merchants have exacerbated the situation by hording their supplies in the hope that prices will rise further. Anger at the [Root.Monarch.GetTitle] is spreading like wildfire as agitators remind the people of [Root.Monarch.GetHerHis] recent decision to relax restrictions placed on grain merchants - restrictions they claim would have prevented this situation from arising. They demand that the reforms be reversed, and that grain be distributed to the people to alleviate their suffering."
 center_of_revolution.2001.A:0 "Ми не можемо терпіти ці страждання, і робити те, що вони говорять!"
 center_of_revolution.2001.B:0 "Економічний лібералізм - це майбутнє, ми не повинні стояти на шляху прогресу."
 laissez_faire_grain_trade:0 "Торгівля зерном за принципом Laissez-Faire"
