l_english:
 insult_default:1 "Матір твоя була свиня, а батько смердючий селюк!"
 insult_turkish_drunkard:0 "Ти не лише Ромейський султан, а й пивницький падишах, горілчаний хан і винний емір! А по нашому, просто король-п'яничка'"
 insult_against_england2:0 "Ваше королівство і старого коня не варте."
 insult_against_scotland:0 "Ми заберемо ваші життя і вашу свободу!"
 insult_for_buddhists:0 "Хай вас поглине Самсара і дарує тисячу літ без щастя і просвітлення."
 insult_for_persians:0 "Наші стріли затулять сонце!!"
 chinese_insult_1:0 "Я чув що [Root.Monarch.GetName] є набожним послідовником [Root.religion.GetName], де Бог вирішує [From.Monarch.GetHerHis] долю в наступному житті. Але, в цьому житті, тільки Імператор дарує вам майбутнє."
 chinese_insult_2:0 "Викажіть послух Імператору і живіть в мирі, або ж вам доведеться зустрітися з піднебесною армією!"
 chinese_insult_3:0 "Досі, ваші проступки були лише легкими симптомами. Владнайте їх доки єдиною допомогою не стала ампутація."
 insult_explorer_vs_africa_or_india:0 "У вас хоча б є прапор?"
 insult_republic_to_monarchy:0 "Слухайте, дивна жіночка у ставку, що роздає мечі не є підставою для формування урядової системи. Отримання вищої виконавчої влади є результатом загального волевиявлення народу, шляхом прямого голосування; А не методом сміхотворних водних процедур."
