l_ukrainian:
 shiva:0 "Культ Шиви"
 maya_rebels_name:0 "Фанатики ($RELIGION$)"
 maya_rebels_desc:0 "Релігійні фанатики прагнуть підняти повстання у провінціях, які належать країнам з іншою державною релігією. Вони намагаються розповсюдити свою релігію, позбувшись при цьому всіх невірних."
 maya_rebels_army:0 "Армія навернення на $RELIGION$"
 maya_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 maya_rebels_demand_desc:0 "Релігійні борці віри $RELIGION$ вимагають зробити її панівною релігією або, як мінімум, припинити переслідування за їхню віру."
 nahuatl_rebels_title:0 "Релігійні фанатики"
 nahuatl_rebels_name:0 "Фанатики ($RELIGION$)"
 nahuatl_rebels_desc:0 "Релігійні фанатики прагнуть підняти повстання у провінціях, які належать країнам з іншою державною релігією. Вони намагаються розповсюдити свою релігію, позбувшись при цьому всіх невірних."
 nahuatl_rebels_army:0 "Армія навернення на $RELIGION$"
 nahuatl_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 nahuatl_rebels_demand_desc:0 "Релігійні борці віри $RELIGION$ вимагають зробити її панівною релігією або, як мінімум, припинити переслідування за їхню віру."
 tengri_pagan_reformed:0 "Тенгріанство"
 tengri_pagan_reformed_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 tengri_pagan_reformed_rebels_demand_desc:0 "Релігійні борці віри $RELIGION$ вимагають зробити її панівною релігією або, як мінімум, припинити переслідування за їхню віру."
 tengri_pagan_reformed_rebels_title:0 "Релігійні фанатики"
 tengri_pagan_reformed_rebels_name:0 "Фанатики ($RELIGION$)"
 tengri_pagan_reformed_rebels_desc:0 "Релігійні фанатики прагнуть підняти повстання у провінціях, які належать країнам з іншою державною релігією. Вони намагаються розповсюдити свою релігію, позбувшись при цьому всіх невірних."
 tengri_pagan_reformed_rebels_army:0 "Армія навернення на $RELIGION$"
 zoroastrian_group:0 "Зороастризм"
 zoroastrian:0 "Зороастризм"
 zoroastrian_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 zoroastrian_rebels_demand_desc:0 "Релігійні борці віри $RELIGION$ вимагають зробити її панівною релігією або, щонайменше, припинити переслідування за їхню віру."
 zoroastrian_rebels_title:0 "Релігійні фанатики"
 zoroastrian_rebels_name:0 "Фанатики ($RELIGION$)"
 zoroastrian_rebels_desc:0 "Релігійні фанатики прагнуть підняти повстання у провінціях, які належать країнам з іншою державною релігією. Вони намагаються розповсюдити свою релігію, позбувшись при цьому всіх невірних."
 zoroastrian_rebels_army:0 "Армія навернення на $RELIGION$"
 jewish_flavor.1.t:0 "Pesach"
 jewish_flavor.1.d:0 "It has already been a long time since Moses liberated our people from the Pharaoh, but we must still remember how the Lord punished him. Following His command, we marked our lintels and doorposts with a lamb's blood, so that the Angel of Death would pass over them and not kill our firstborns. Since then, we have lived free from the shackles of the Pharaoh, but we must still remember it and thank the Lord for it.\nThis is what we celebrate on Pesach, one of the three Shalosh Regalim, but we must celebrate while keeping that in mind. Although it was customary for the Shalosh Regalim to consist in a pilgrimage to Jerusalem to offer sacrifices in the temple, that's not possible anymore since the destruction of the Second Temple. Thus, we must make an effort to remember while celebrating. The sacrificial lamb must be offered, and all leaven discarded and burned. With this, our people will remember."
 jewish_flavor.1.a:0 "Let's celebrate"
 jewish_flavor.2.t:0 "Shavuot"
 jewish_flavor.2.d:0 "After leaving the land of the Pharaoh, our people wandered the desert for forty years until they reached the Promised Land. In that time, while at Mount Sinai, Moses received the Torah from the Lord. This is what we celebrate on Shavuot, one of the three Shalosh Regalim. Although it was customary for the Shalosh Regalim to consist in a pilgrimage to Jerusalem to offer sacrifices in the temple, that's not possible anymore since the destruction of the Second Temple. Thus, we must make an effort to remember while celebrating.\nShavuot also commemorates the wheat harvest after the counting of the Omer started at Passover. Thus, it represents the anticipation and desire of receiving the Torah and we must celebrate while keeping that in mind. We must focus on the study of the Torah to become a nation committed to serving the Lord. Only then will the Lord provide."
 jewish_flavor.2.a:0 "Let's celebrate"
 jewish_flavor.3.t:0 "Sukkot"
 jewish_flavor.3.d:0 "After leaving the land of the Pharaoh, our people wandered the desert for forty years until they reached the Promised Land. During all that time, our people had to live in fragile dwellings erected in the middle of the desert.\n This is what we remember when we celebrate Sukkot, one of the three Shalosh Regalim. Although it was customary for the Shalosh Regalim to consist in a pilgrimage to Jerusalem to offer sacrifices in the temple, that's not possible anymore since the destruction of the Second Temple. Thus, we must make an effort to remember while celebrating.\nBy building and living in temporary dwellings during Sukkot we partake in the hardships our people had to suffer in the past, and we remember. And by partaking in all this shared suffering our people will be aware that we have more things in common than those that make us apart."
 jewish_flavor.3.a:0 "Let's celebrate"
 jewish_flavor.4.t:0 "Bar Mitzvah"
 jewish_flavor.4.desc:0 "It seems like it was yesterday that [Root.Heir.GetName], the heir of our [Root.Monarch.GetTitle] was born, but the time has come for [Root.Heir.GetHerHim] to become a full-fledged adult. According to the Jewish law, until now [Root.Heir.GetSheHe] was the responsibility of [Root.Monarch.GetTitle] [Root.Monarch.GetName], but from now on [Root.Heir.GetSheHe] will be held accountable for [Root.Heir.GetHerHis] own actions.\nIt has always been tradition among Jews that when boys reach 13 and girls 12, they become full members of the community with the responsibilities that come with it. They can already be called to read the Torah, lead and participate in the prayer quorum, and have the right to marry. But they also have the obligation of knowing the Jewish law and abide by it.\nIt is expected of us to host a party to celebrate such occasion. It will also be the perfect opportunity to present [Root.Heir.GetName] to the court, and for [Root.Heir.GetHerHim] to strengthen [Root.Heir.GetHerHis] bonds with it, preparing [Root.Heir.GetHerHim] for when [Root.Heir.GetSheHe] has to start ruling our nation."
 jewish_flavor.4.a:0 "Let's spend lavishly"
 jewish_flavor.4.b:0 "Just don't go overboard"
 jewish_flavor.4.c:0 "We need to be moderate"
 jewish_flavor.4.d:0 "There's no need to celebrate"
 lavish_bmv:0 "Lavish Bar Mitzvah"
 desc_lavish_bmv:0 "[Root.Heir.GetName] has had a lavish Bar Mitzvah."
 normal_bmv:0 "Normal Bar Mitzvah"
 desc_normal_bmv:0 "[Root.Heir.GetName] has had a Bar Mitzvah."
 cheap_bmv:0 "Modest Bar Mitzvah"
 desc_cheap_bmv:0 "[Root.Heir.GetName] has had a modest Bar Mitzvah."
 no_bmv:0 "No Bar Mitzvah"
 desc_no_bmv:0 "We didn't celebrate a Bar Mitzvah for [Root.Heir.GetName]."
 shalosh_regalim_modifier:0 "Shalosh Regalim"
 desc_shalosh_regalim_modifier:0 "The Shalosh Regalim are part of our most holy celebrations, we should carefully prepare everything needed to celebrate them."
 passover_modifier:0 "Pesach"
 desc_passover_modifier:0 "After a successful Pesach, our people can be at ease knowing that the Lord will protect them."
 passover_tooltip:0 "Every province producing §YLivestock§! will receive the modifier §YShalosh Regalim§! for §Y1 year§!, giving the following effects:\nLocal Production Efficiency: §G+10%§!."
 shavuot_modifier:0 "Shavuot"
 desc_shavuot_modifier:0 "Although our country is not blessed with a lot of grain, our successful diplomatic relations with our neighbors have allowed us to celebrate Shavuot without a problem."
 shavuot_tooltip:0 "Every province producing §YGrain§! will receive the modifier §YShalosh Regalim§! for §Y1 year§!, giving the following effects:\nLocal Production Efficiency: §G+10%§!."
 sukkot_modifier:0 "Sukkot"
 desc_sukkot_modifier:0 "Sharing hardships when celebrating Sukkot makes our people more aware of our shared identity."
 jewish_flavor.5.t:0 "The Third Temple"
 jewish_flavor.5.d:0 "Jerusalem belongs to our people once more and the majority of its population worships the Lord again. It is a good opportunity to fulfill the dream that millions of Jews have had since the Second Temple was destroyed during the Roman siege of Jerusalem.The new Temple will be even greater than the previous one. \nThere is a problem though, the Temple Mount where the successive Temples have been erected is now home to the Al Aqsa compound and therefore holy to the Muslims. Should we build the Temple in its original position, we would need to demolish the Al Aqsa compound and enrage Muslims. We could reuse the materials though, which would make our project much cheaper. On the other hand, should we build it in another location, rabbis will be really displeased because we chose a non sacred place and renounced to a millenary believe.\nWhat should we do?"
 jewish_flavor.5.a:0 "Muslims are not more powerful than the Lord. We will build His Temple where it belongs."
 jewish_flavor.5.b:0 "Perhaps a middle ground is better. There is no need to make enemies of half the world."
 jewish_flavor.5.c:0 "It might not be the best moment, after all."
 third_temple_provincial_modifier:0 "The Third Temple"
 desc_third_temple_provincial_modifier:0 "The Holy Temple dominates the Temple Mount in the three times Holy City of Jerusalem."
 third_temple_country_modifier:0 "The Third Temple is built"
 desc_third_temple_country_modifier:0 "Our thrice-daily prayers have been heard and the Third Temple is a reality in Jerusalem now. Jewry all across the world rejoice."
 third_temple_consequences_tooltip:0 "§YEvery Muslim country§!'s opinion of us changed by §R-200§!, improving by §Y2§! every year.\n§YEvery Muslim country§! gains §YDiplomatic Insult§! Casus Belli on us for §Y5 years§!.\nOur §YMuslim§! Provinces will revolt."
 destroyed_al_aqsa_opinion:0 "Destroyed the Al-Aqsa Compound."
 build_the_third_temple_title:0 "Build the Third Temple"
 build_the_third_temple_desc:0 "For centuries, our people have mourned the loss of the Second Temple and dreamed about its recovery. The time has come. We shall build the Third Temple in Jerusalem again for the glory of the Lord."
 jewish_flavor.6.t:0 "Back to the Lord"
 jewish_flavor.6.d:0 "Judaism is a non proselytizing religion and, therefore, it is rather difficult to bring new blood to our small community. To add to this, according to our tradition, only children born to Jewish women are Jewish themselves, which makes it dangerous for our people to allow inter religious marriages if the bride belongs to our religion.\nThankfully, people from [Root.GetName], previously following other Abrahamic religions, have realized that they believed in the Lord all the time and have fully embraced their Jewishness."
 jewish_flavor.6.a:0 "They are all welcome if their faith is true."
 jewish_flavor.7.t:0 "An Important Matter in Sabbath"
 jewish_flavor.7.d:0 "Today is Sabbath and therefore every Jew is bound to rest and devote their time to worship. However, a matter of the greatest importance has arisen and some advisors think it is important that [Root.Monarch.GetName] focuses on it. The sole suggestion has raised some rabbis' eyebrows and swiftly words of condemnation have been heard in the court. It looks like whichever choice we take someone will get angry. But what is the lesser evil?"
 jewish_flavor.7.a:0 "Sabbath must be respected. Whatever the matter is, it can wait."
 jewish_flavor.7.b:0 "A country must be led at all times. Let's solve the matter as soon as possible and go back to worship."
 jewish_flavor.7.c:0 "As a devout, [Root.Monarch.GetName] will do nothing but pray. Opposition will be crushed."
 jewish_flavor.7.e:0 "Religion is not as important as ruling problems. It can and will wait until [Root.Monarch.GetName] has time."
 jewish_flavor.8.t:0 "The Messiah"
 jewish_flavor.8.d:0 "Our people have yearned to return to the Holy Land since the diaspora started. Although our people are still scattered around the world, some whisper that [Root.Monarch.GetName] might be the long awaited Messiah. Will God return our people to the Holy Land or shall we take matters into our own hands?"
 jewish_flavor.8.a:0 "The Lord will take care of the Jewry. [Root.Monarch.GetName] is not the Messiah."
 jewish_flavor.8.b:0 "We will return the people to Zion as [Root.Monarch.GetName] is the Messiah."
 no_messiah_country_modifier:0 "Our Ruler is not the Messiah"
 desc_no_messiah_country_modifier:0 "Our ruler [Root.Monarch.GetName] is not the Messiah that will bring us back to the Holy Land, but God will show us the path anyway."
 estate_not_built_temple:0 "Promise of future Temple rebuild"
