l_english:
 ALT:0 "Алтамаха"
 ARN:0 "Арендаронон"
 ARN_ADJ:0 "Арендарононськ"
 TIO:0 "Тіононтате"
 TIO_ADJ:0 "Тіононтатськ"
 OSH:0 "Ошеага"
 OSH_ADJ:0 "Ошеагськ"
 STA:0 "Стадакона"
 STA_ADJ:0 "Стадаконськ"
 ERI:0 "Ері"
 ERI_ADJ:0 "Ерійськ"
 WEN:0 "Венро"
 WEN_ADJ:0 "Венроськ"
 TSC:0 "Тускарора"
 TSC_ADJ:0 "Тускарорськ"
 OHK:0 "Окей-Овінге"
 OHK_ADJ:0 "Окей-Овінгськ"
 ISL:0 "Іслета"
 ISL_ADJ:0 "Іслетськ"
 ACO:0 "Акома"
 ACO_ADJ:0 "Акомськ"
 CAO:0 "Кахокія"
 CAO_ADJ:0 "Кахокійськ"
 PEO:0 "Піорія"
 PEO_ADJ:0 "Піорійськ"
 KSK:0 "Каскаскія"
 KSK_ADJ:0 "Каскаскійськ"
 PEN:0 "Пенобскот"
 PEN_ADJ:0 "Пенобскотськ"
 MLS:0 "Малісіт"
 MLS_ADJ:0 "Малісітськ"
 NEH:0 "Нехіяв"
 NEH_ADJ:0 "Нехіявськ"
 NAK:0 "Накаве"
 NAK_ADJ:0 "Накавськ"
 HWK:0 "Хатавекела"
 HWK_ADJ:0 "Хатавекельськ"
 CLG:0 "Чалагавта"
 CLG_ADJ:0 "Чалагавтськ"
 INN:0 "Інну"
 INN_ADJ:0 "Іннуськ"
 KSP:0 "Кіспоко"
 KSP_ADJ:0 "Кіспокськ"
 WAM:0 "Вампаноаги"
 WAM_ADJ:0 "Вампаноагськ"
 AGQ:0 "Алгонкін"
 AGQ_ADJ:0 "Алгонкінськ"
 LAK:0 "Лакота"
 LAK_ADJ:0 "Лакотськ"
 WCY:0 "Вічієна"
 WCY_ADJ:0 "Вічієнськ"
 MSG:0 "Міссісога"
 MSG_ADJ:0 "Міссісогськ"
 CCA:0 "Чіска"
 CCA_ADJ:0 "Чіскськ"
 QUI:0 "Кіскіс"
 QUI_ADJ:0 "Кіскіськ"
 PCH:0 "Пакаха"
 PCH_ADJ:0 "Пакахськ"
 PROV4871:0 "Ковашок"
 PROV_ADJ4871:0 "Ковашокськ"
 PROV4872:0 "Венрохонон"
 PROV_ADJ4872:0 "Венрохононськ"
 PROV4873:0 "Пегвакі"
 PROV_ADJ4873:0 "Пегвакськ"
 PROV4874:0 "Вестенхак"
 PROV_ADJ4874:0 "Вестенхакськ"
 PROV4875:0 "Велхіхане"
 PROV_ADJ4875:0 "Велхіханськ"
 PROV4876:0 "Скахентованен"
 PROV_ADJ4876:0 "Скахентованенськ"
 PROV4877:0 "Ноттовей"
 PROV_ADJ4877:0 "Ноттовейськ"
 PROV4878:0 "Ено"
 PROV_ADJ4878:0 "Еноськ"
 PROV4879:0 "Кітува"
 PROV_ADJ4879:0 "Кітувськ"
 PROV4880:0 "Комбахі"
 PROV_ADJ4880:0 "Комбахійськ"
 PROV4881:0 "Савоклі"
 PROV_ADJ4881:0 "Савоклійськ"
 PROV4882:0 "Еталі"
 PROV_ADJ4882:0 "Етальськ"
 PROV4883:0 "Napochi"
 PROV_ADJ4883:0 "Napochi"
 PROV4884:0 "Houma"
 PROV_ADJ4884:0 "Houma"
 PROV4885:0 "Avoyel"
 PROV_ADJ4885:0 "Avoyel"
 PROV4886:0 "Nasoni"
 PROV_ADJ4886:0 "Nasoni"
 PROV4887:0 "Cochati"
 PROV_ADJ4887:0 "Cochati"
 PROV4888:0 "Tatteroa"
 PROV_ADJ4888:0 "Tatteroa"
 PROV4889:0 "Mohetan"
 PROV_ADJ4889:0 "Mohetan"
 PROV4890:0 "Kichessipirini"
 PROV_ADJ4890:0 "Kichessipirini"
 PROV4891:0 "Piktuk"
 PROV_ADJ4891:0 "Piktuk"
 PROV4892:0 "Iroquet"
 PROV_ADJ4892:0 "Iroquet"
 PROV4893:0 "Nebesek"
 PROV_ADJ4893:0 "Nebesek"
 PROV4894:0 "Ottagotouemin"
 PROV_ADJ4894:0 "Ottagotouemin"
 PROV4895:0 "Batiscan"
 PROV_ADJ4895:0 "Batiscan"
 PROV4896:0 "Meductic"
 PROV_ADJ4896:0 "Meductic"
 PROV4897:0 "Keinouche"
 PROV_ADJ4897:0 "Keinouche"
 PROV4898:0 "Noquet"
 PROV_ADJ4898:0 "Noquet"
 PROV4899:0 "Mamaceqtaw"
 PROV_ADJ4899:0 "Mamaceqtaw"
 PROV4900:0 "Otoe"
 PROV_ADJ4900:0 "Otoe"
 PROV4901:0 "Saone"
 PROV_ADJ4901:0 "Saone"
 PROV4902:0 "Makandwewin"
 PROV_ADJ4902:0 "Makandwein"
 PROV4903:0 "Chinko"
 PROV_ADJ4903:0 "Chinko"
 PROV4904:0 "Espeminkia"
 PROV_ADJ4904:0 "Espeminkia"
 PROV4905:0 "Tapouaro"
 PROV_ADJ4905:0 "Tapouaro"
 PROV4906:0 "Coiracoentanon"
 PROV_ADJ4906:0 "Coiracoentanon"
 PROV4907:0 "Mosopelea"
 PROV_ADJ4907:0 "Mosopelea"
 PROV4908:0 "Tawehash"
 PROV_ADJ4908:0 "Tawehash"
 PROV4909:0 "Kitsash"
 PROV_ADJ4909:0 "Kitsash"
 PROV4910:0 "Tawakoni"
 PROV_ADJ4910:0 "Tawakoni"
 PROV4911:0 "Nabaydacu"
 PROV_ADJ4911:0 "Nabaydacu"
 PROV4912:0 "Kaniatarowanen"
 PROV_ADJ4912:0 "Ahkwesahsne"
 PROV4913:0 "Aniyutsi"
 PROV_ADJ4913:0 "Aniyutsi"
 PROV4914:0 "Neozho"
 PROV_ADJ4914:0 "Neozho"
 PROV4915:0 "Pitahawirata"
 PROV_ADJ4915:0 "Pitahawirata"
 PROV4916:0 "Panka"
 PROV_ADJ4916:0 "Panka"
 PROV4917:0 "Selis"
 PROV_ADJ4917:0 "Selis"
 PROV4918:0 "Hunkpapha"
 PROV_ADJ4918:0 "Hunkpapha"
 PROV4919:0 "Sihabi"
 PROV_ADJ4919:0 "Sihabi"
 PROV4920:0 "Wadopabina"
 PROV_ADJ4920:0 "Wadopabina"
 PROV4921:0 "Kuttawa"
 PROV_ADJ4921:0 "Kuttawa"
 PROV4922:0 "Pepikokia"
 PROV_ADJ4922:0 "Pepikokia"
 PROV4923:0 "Pacaha"
 PROV_ADJ4923:0 "Pacaha"
 PROV4924:0 "Laurentian Massif"
 PROV_ADJ4924:0 "Laurentian Massif"
 PROV4925:0 "White Mountains"
 PROV_ADJ4925:0 "White Mountains"
 PROV4926:0 "Adirondacks"
 PROV_ADJ4926:0 "Adirondacks"
 PROV4927:0 "Blue Mountains"
 PROV_ADJ4927:0 "Blue Mountains"
 PROV4928:0 "Allegheny Front"
 PROV_ADJ4928:0 "Allegheny Front"
 PROV4929:0 "Appalachians"
 PROV_ADJ4929:0 "Appalachians"
 PROV4930:0 "Alleghenies"
 PROV_ADJ4930:0 "Alleghenies"
 PROV4931:0 "Cumberland Mountains"
 PROV_ADJ4931:0 "Cumberland Mountains"
 PROV4932:0 "Great Smoky Mountains"
 PROV_ADJ4932:0 "Great Smoky Mountains"
 PROV4933:0 "Blue Ridge"
 PROV_ADJ4933:0 "Blue Ridge"
 PROV4940:0 "Lake Tulare"
 PROV_ADJ4940:0 "Lake Tulare"
 PROV4941:0 "Lake Cahuilla"
 PROV_ADJ4941:0 "Lake Cahuilla"
 algonquin:0 "Anicinabe"
 miami:0 "Myaamia"
 innu:0 "Innu-Naskapi"
 natchez:0 "Natchez"
 yoron:0 "Yoron"
 yuchi:0 "Yuchi"
 laurentian:0 "Laurentian"
 tionontate:0 "Tionontate"
 maliseet:0 "Maliseet"
 hitchiti:0 "Hitchiti"
 massachusset:0 "Massachusset"
 plains_cree:0 "Plains Cree"
 bungi:0 "Bungi"
 yamasee:0 "Yamasee"
 eastern_maine_area:0 "Східний Мейн"
 new_york_area:0 "Нью-Йорк"
 westsylvania_area:0 "Аллеґені"
 south_carolina_piedmont_area:0 "Південна Кароліна П'єдмонт"
 western_kentucky_area:0 "Західний Кентуккі"
 southern_illinois_area:0 "Південний Іллінойс"
 iowa_area:0 "Айова"
 kansas_area:0 "Канзас"
 minnessota_area:0 "Міннесота"
 texas_plains_area:0 "Техаські рівнини"
 st_john_valley_area:0 "Долина Сент-Джонс"
 trois_rivieres_area:0 "Труа-Рів'єр"
 ottawa_valley_area:0 "Долина Оттави"
 manitoba_area:0 "Манітоба"
